"","X","Drug","cell","Final_conc_uM","median_GR24.x","median_GR24.y","percent_change_GR","idx","group"
"211",211,"BPTES","BT549",1,0.0358530772385113,0.0361593240141026,99.153062774426,"BPTES_BT549","R"
"212",212,"BPTES","BT549",2,0.0355848638850637,0.0361593240141026,98.4113084392428,"BPTES_BT549","R"
"213",213,"BPTES","BT549",3,0.0381555536967946,0.0361593240141026,105.520649893547,"BPTES_BT549","R"
"214",214,"BPTES","BT549",4,0.0302568107549387,0.0361593240141026,83.6763727749396,"BPTES_BT549","R"
"215",215,"BPTES","BT549",5,0.030112715774889,0.0361593240141026,83.2778725706947,"BPTES_BT549","R"
"216",216,"BPTES","COLO205",1,0.0580350346576944,0.0534429368350681,108.592525213946,"BPTES_COLO205","R"
"217",217,"BPTES","COLO205",2,0.0521960411153049,0.0534429368350681,97.6668652705011,"BPTES_COLO205","R"
"218",218,"BPTES","COLO205",3,0.0540068257702683,0.0534429368350681,101.055123405625,"BPTES_COLO205","R"
"219",219,"BPTES","COLO205",4,0.0559004552946185,0.0534429368350681,104.59839710369,"BPTES_COLO205","R"
"220",220,"BPTES","COLO205",5,0.0454725404562352,0.0534429368350681,85.0861557188923,"BPTES_COLO205","R"
"221",221,"BPTES","EKVX",1,0.0240067560573999,0.0225374094814301,106.519589472696,"BPTES_EKVX","I"
"222",222,"BPTES","EKVX",2,0.022339556248542,0.0225374094814301,99.1221119133008,"BPTES_EKVX","I"
"223",223,"BPTES","EKVX",3,0.0216301796595481,0.0225374094814301,95.9745603298838,"BPTES_EKVX","I"
"224",224,"BPTES","EKVX",4,0.0225060801021892,0.0225374094814301,99.860989439506,"BPTES_EKVX","I"
"225",225,"BPTES","EKVX",5,0.010581872539283,0.0225374094814301,46.9524793787949,"BPTES_EKVX","I"
"226",226,"BPTES","HCT15",1,0.043567657679429,0.0483074373286203,90.1883024409924,"BPTES_HCT15","R"
"227",227,"BPTES","HCT15",2,0.0498711448205118,0.0483074373286203,103.236991193,"BPTES_HCT15","R"
