"","x"
"1187","C05853"
"1188","C06207"
"1189","C07086"
"1190","C11457"
"1191","C11588"
"1192","C12621"
"1193","C12622"
"1194","C12623"
"1195","C12624"
"1196","C14144"
"1197","C14145"
"1198","C15524"
"1199","C19945"
"1200","C19946"
"1201","C19975"
"1202","C20062"
"1203","C00108"
"1204","C00328"
"1205","C00331"
"1206","C00398"
"1207","C00463"
"1208","C00632"
"1209","C00637"
"1210","C00643"
"1211","C00780"
"1212","C00954"
"1213","C00955"
"1214","C00978"
"1215","C01111"
"1216","C01249"
"1217","C01252"
"1218","C01598"
"1219","C01717"
"1220","C01987"
"1221","C02161"
"1222","C02172"
"1223","C02220"
"1224","C02298"
"1225","C02470"
"1226","C02693"
"1227","C02700"
"1228","C02775"
"1229","C02937"
"1230","C02938"
"1231","C03227"
"1232","C03230"
"1233","C03453"
"1234","C03574"
"1235","C03722"
"1236","C03824"
"1237","C04409"
"1238","C05634"
"1239","C05635"
"1240","C05636"
"1241","C05637"
"1242","C05638"
"1243","C05639"
"1244","C05640"
"1245","C05641"
"1246","C05642"
"1247","C05643"
"1248","C05644"
"1249","C05645"
"1250","C05646"
"1251","C05647"
"1252","C05648"
"1253","C05651"
"1254","C05652"
"1255","C05653"
"1256","C05654"
"1257","C05655"
"1258","C05656"
"1259","C05658"
"1260","C05659"
"1261","C05660"
"1262","C05663"
"1263","C05830"
"1264","C05831"
"1265","C05832"
"1266","C05834"
"1267","C05835"
"1268","C05837"
"1269","C06212"
"1270","C06213"
"1271","C08313"
"1272","C10164"
"1273","C16516"
"1274","C16517"
"1275","C16518"
"1276","C17203"
"1277","C22006"
"1278","C22202"
"1279","C00254"
"1280","C00296"
"1281","C00354"
"1282","C00493"
"1283","C00587"
"1284","C00826"
"1285","C00944"
"1286","C01269"
"1287","C01302"
"1288","C02637"
"1289","C03175"
"1290","C03506"
"1291","C04302"
"1292","C04691"
"1293","C16848"
"1294","C16850"
"1295","C17235"
"1296","C20327"
"1297","C20653"
"1298","C20654"
"1299","C20710"
"1300","C00804"
"1301","C00864"
"1302","C00894"
"1303","C01073"
"1304","C02335"
"1305","C03492"
"1306","C05340"
"1307","C05341"
"1308","C05665"
"1309","C05668"
"1310","C05669"
"1311","C05670"
"1312","C00227"
"1313","C00519"
"1314","C00593"
"1315","C01678"
"1316","C01959"
"1317","C03149"
"1318","C05123"
"1319","C05844"
"1320","C06735"
"1321","C14179"
"1322","C19685"
"1323","C00058"
"1324","C01438"
"1325","C02798"
"1326","C03167"
"1327","C03557"
"1328","C04650"
"1329","C05672"
"1330","C05673"
"1331","C05674"
"1332","C05675"
"1333","C05676"
"1334","C05677"
"1335","C05678"
"1336","C05679"
"1337","C05680"
"1338","C05681"
"1339","C05682"
"1340","C05683"
"1341","C06367"
"1342","C06368"
"1343","C06451"
"1344","C06455"
"1345","C06456"
"1346","C06457"
"1347","C06459"
"1348","C17940"
"1349","C17941"
"1350","C17942"
"1351","C17943"
"1352","C17944"
"1353","C17945"
"1354","C17947"
"1355","C17948"
"1356","C17949"
"1357","C17950"
"1358","C17951"
"1359","C17952"
"1360","C17960"
"1361","C17961"
"1362","C17962"
"1363","C20396"
"1364","C20422"
"1365","C20423"
"1366","C20440"
"1367","C20986"
"1368","C21372"
"1369","C21403"
"1370","C21404"
"1371","C21613"
"1372","C00017"
"1373","C01528"
"1374","C02535"
"1375","C05172"
"1376","C05335"
"1377","C05336"
"1378","C05684"
"1379","C05686"
"1380","C05688"
"1381","C05689"
"1382","C05690"
"1383","C05695"
"1384","C05697"
"1385","C05698"
"1386","C05699"
"1387","C05703"
"1388","C06481"
"1389","C06482"
"1390","C16638"
"1391","C18870"
"1392","C18871"
"1393","C18872"
"1394","C18893"
"1395","C18902"
"1396","C18904"
"1397","C18905"
"1398","C00133"
"1399","C00217"
"1400","C00515"
"1401","C00666"
"1402","C00680"
"1403","C00692"
"1404","C00792"
"1405","C00819"
"1406","C00820"
"1407","C00855"
"1408","C00993"
"1409","C01667"
"1410","C01726"
"1411","C02237"
"1412","C02855"
"1413","C03341"
"1414","C03440"
"1415","C03933"
"1416","C03943"
"1417","C04260"
"1418","C04282"
"1419","C04457"
"1420","C05620"
"1421","C05939"
"1422","C05941"
"1423","C05942"
"1424","C06419"
"1425","C22024"
"1426","C22025"
"1427","C00005"
"1428","C00006"
"1429","C00127"
"1430","C00151"
"1431","C00669"
"1432","C01322"
"1433","C01419"
"1434","C01879"
"1435","C02090"
"1436","C02320"
"1437","C03170"
"1438","C03646"
"1439","C03740"
"1440","C05726"
"1441","C05727"
"1442","C05729"
"1443","C05730"
"1444","C16562"
"1445","C16563"
"1446","C16564"
"1447","C16565"
"1448","C16566"
"1449","C16567"
"1450","C16568"
"1451","C16663"
"1452","C16664"
"1453","C00092"
"1454","C00185"
"1455","C00208"
"1456","C00252"
"1457","C00369"
"1458","C00372"
"1459","C00394"
"1460","C00498"
"1461","C00501"
"1462","C00663"
"1463","C00689"
"1464","C00718"
"1465","C00721"
"1466","C00760"
"1467","C00963"
"1468","C00965"
"1469","C00973"
"1470","C01083"
"1471","C01231"
"1472","C01725"
"1473","C01898"
"1474","C01935"
"1475","C02591"
"1476","C02995"
"1477","C03323"
"1478","C04534"
"1479","C05731"
"1480","C06215"
"1481","C06400"
"1482","C16688"
"1483","C20237"
"1484","C00110"
"1485","C00381"
"1486","C00621"
"1487","C01246"
"1488","C03021"
"1489","C03862"
"1490","C06081"
"1491","G00001"
"1492","G00002"
"1493","G00003"
"1494","G00004"
"1495","G00005"
"1496","G00006"
"1497","G00007"
"1498","G00008"
"1499","G00009"
"1500","G00010"
"1501","G00011"
"1502","G00012"
"1503","G00013"
"1504","G00014"
"1505","G00015"
"1506","G00016"
"1507","G00017"
"1508","G00018"
"1509","G00019"
"1510","G00020"
"1511","G00021"
"1512","G00022"
"1513","G00171"
"1514","G10526"
"1515","G10595"
"1516","G10596"
"1517","G10597"
"1518","G10598"
"1519","G10599"
"1520","G10694"
"1521","C02189"
"1522","G00023"
"1523","G00024"
"1524","G00025"
"1525","G00026"
"1526","G00027"
"1527","G00028"
"1528","G00029"
"1529","G00030"
"1530","G00031"
"1531","G00032"
"1532","G00033"
"1533","G00034"
"1534","G00035"
"1535","G10611"
"1536","G10794"
"1537","G13153"
"1538","G00179"
"1539","G01813"
"1540","G05477"
"1541","G10665"
"1542","G10716"
"1543","G10770"
"1544","G10841"
"1545","G10920"
"1546","G11000"
"1547","G11040"
"1548","G11933"
"1549","G12617"
"1550","G12625"
"1551","G12626"
"1552","G13047"
"1553","G13048"
"1554","G13049"
"1555","G13050"
"1556","G13055"
"1557","G13056"
"1558","G13057"
"1559","G13058"
"1560","G13059"
"1561","G10617"
"1562","G13026"
"1563","G13027"
"1564","G13028"
"1565","G13082"
"1566","G13083"
"1567","G13084"
"1568","G13085"
"1569","G13086"
"1570","G13087"
"1571","G13088"
"1572","G13089"
"1573","G13090"
"1574","G13091"
"1575","G13092"
"1576","G13093"
"1577","G13094"
"1578","G13095"
"1579","G13096"
"1580","G13097"
"1581","G13098"
"1582","G13099"
"1583","G13100"
"1584","C00043"
"1585","C00128"
"1586","C00140"
"1587","C00190"
"1588","C00203"
"1589","C00270"
"1590","C00329"
"1591","C00357"
"1592","C00461"
"1593","C00645"
"1594","C00734"
"1595","C00935"
"1596","C00996"
"1597","C00999"
"1598","C01050"
"1599","C01170"
"1600","C01219"
"1601","C01623"
"1602","C01674"
"1603","C01788"
"1604","C02199"
"1605","C02336"
"1606","C02352"
"1607","C02474"
"1608","C02713"
"1609","C03410"
"1610","C03598"
"1611","C03599"
"1612","C03691"
"1613","C03906"
"1614","C04089"
"1615","C04257"
"1616","C04297"
"1617","C04501"
"1618","C04573"
"1619","C04613"
"1620","C04630"
"1621","C04631"
"1622","C06023"
"1623","C06156"
"1624","C06240"
"1625","C06241"
"1626","C11521"
"1627","C13952"
"1628","C16153"
"1629","C16154"
"1630","C16155"
"1631","C16156"
"1632","C16157"
"1633","C16183"
"1634","C16698"
"1635","C17269"
"1636","C17326"
"1637","C17327"
"1638","C17328"
"1639","C18060"
"1640","C18094"
"1641","C19725"
"1642","C19745"
"1643","C19769"
"1644","C19823"
"1645","C19961"
"1646","C19971"
"1647","C19972"
"1648","C20082"
"1649","C20083"
"1650","C20357"
"1651","C20359"
"1652","C20395"
"1653","C20418"
"1654","C20419"
"1655","C20424"
"1656","C20638"
"1657","C20672"
"1658","C20934"
"1659","C21027"
"1660","C21383"
"1661","C21384"
"1662","C22029"
"1663","C00397"
